Year,Minimum,5th Percentile,Median,95th Percentile,Maximum,Area Mean
14500BP,14.3150893555,14.4904180298,16.9556496582,18.5399503784,18.6959008789,16.7221315752
14480BP,13.3421035156,13.443930603,15.7133497314,17.2228602905,17.3048120117,15.5210061764
14460BP,14.3141982422,14.494699646,16.7854439697,18.0728239136,18.2370996094,16.5019065543
14440BP,14.0315993652,14.1592000732,16.3035535889,17.5941035767,17.689901123,16.0766692733
14420BP,15.1879897461,15.378243042,17.4530469971,18.4943019409,18.5851037598,17.1816568054
14400BP,15.0768874512,15.2385900269,17.5487440186,18.9158565063,19.0229089355,17.3024752022
14380BP,14.5441848145,14.7337133179,17.2323525391,18.6195722656,18.7829980469,16.9211086461
14360BP,14.3188063965,14.4995290527,16.7297524414,17.9492765503,18.1004052734,16.4467207694
14340BP,14.9469008789,15.1575750122,17.6941018066,19.1461271362,19.3081994629,17.3997544812
14320BP,15.2844008789,15.4465993652,17.6056466064,18.8613493042,18.9870019531,17.3620541237
14300BP,14.931690918,15.0934697876,17.3366529541,18.655024292,18.7602990723,17.0959893553
14280BP,15.202595459,15.3705220947,17.8659493408,19.3777784424,19.5121057129,17.6041486641
14260BP,14.4802993164,14.6328496704,16.8587446289,18.2084819336,18.3199060059,16.6288621915
14240BP,14.3355056152,14.4787572632,16.9797407227,18.6006755371,18.727401123,16.7497878816
14220BP,14.9975966797,15.1673497925,17.5633461914,18.9309019165,19.0690026855,17.2814141926
14200BP,15.1534926758,15.3307912598,17.7323525391,19.1636228638,19.319197998,17.4666204494
14180BP,14.4638015137,14.6394506226,16.958902832,18.2623273926,18.402199707,16.6799774146
14160BP,13.6571975098,13.843074585,16.3082502441,17.6551692505,17.7993920898,15.9994977062
14140BP,13.3923964844,13.552171875,16.0090981445,17.6184553223,17.7822045898,15.7794380194
14120BP,13.2133010254,13.3725774536,15.6657021484,17.2940214233,17.4856958008,15.4832087569
14100BP,13.4248000488,13.6330983887,16.2013497314,17.8792234497,18.0681970215,15.9647574803
14080BP,12.4148085938,12.6039327393,14.7947518311,16.3517286377,16.5725061035,14.6176769597
14060BP,12.9519973145,13.1090749512,15.3354989014,16.9171033936,17.1187036133,15.1537496293
14040BP,13.5073989258,13.6845983276,16.0287484131,17.6100477295,17.7900964355,15.8241164826
14020BP,12.4306960449,12.5620229492,14.6972908936,16.1443754272,16.2834008789,14.5142047804
14000BP,12.2708999023,12.4400762329,14.6527016602,16.3381452637,16.5460961914,14.5135958397
13980BP,12.2843032227,12.4563512573,14.6970437012,16.2894743042,16.4501977539,14.5346207571
13960BP,12.3348952637,12.5372991333,15.224894043,17.1519239502,17.352401123,15.0314148913
13940BP,12.3396987305,12.4967229614,14.7036049805,16.3798292236,16.5685021973,14.5663034322
13920BP,12.8154006348,12.9602758179,15.0087990723,16.4084013062,16.5693017578,14.8318046282
13900BP,13.0687941895,13.2325948486,15.3956002197,17.0746229248,17.2738977051,15.2710582932
13880BP,13.1391005859,13.303947998,15.6720498047,17.3124723511,17.501796875,15.4729821134
13860BP,12.8385024414,12.9677755127,14.96525354,16.1835737305,16.3681970215,14.7269491492
13840BP,13.2437026367,13.43250177,16.025498291,18.0254957275,18.3463952637,15.8376964247
13820BP,12.5747939453,12.7162175903,15.0393013916,16.5779523926,16.7904016113,14.8029050965
13800BP,12.9985976563,13.1484731445,15.1990944824,16.4716978149,16.656295166,14.9690485465
