ybp,K_ID,Lat,Lon,Acer,Achillea_t,Aconitum,Agrimonia,Alchemilla,Alnus,Anagallis,Anemone_t,Apiaceae,Armeria,Artemisia,Asteraceae,Asteraceae_liguliflorae,Asteraceae_tubuliflorae,Astragalus,Betula,Betula_nana_t,Boraginaceae,Brassicaceae,Calluna_vulgaris,Campanula,Cannabis_t,Carpinus,Caryophyllaceae,Centaurea_cyanus,Centaurea_sp,Cerastium_t,Cerealia_sum,Chamaepericlymenum_suecicum,Chenopodiaceae,Chrysosplenium,Circaea,Cirsium_t,Convolvulaceae,Corylus,Cyperaceae,Daphne,Dianthus,Dipsacaceae,Drosera,Dryas,Empetraceae,Epilobium,Epilobium_angustifolium,Ericaceae,Fabaceae,Fagopyrum_esculentum,Fagus,Fallopia_convolvulus,Filipendula,Frangula,Fraxinus,Galium_t,Gentianaceae,Geranium,Geum,Hedera,Helianthemum,Helianthus_t,Hippophae,Humulus,Hypericum,Impatiens,Jasione,Juniperus,Knautia,Lamiaceae,Ledum,Liliaceae,Linum_catharcticum,Linum_usitatissimum,Lychnis_t,Lycopus,Lysimachia,Lythrum,Melampyrum,Mentha,Mercurialis,Myrica_t,Odontites,Onagraceae,Ononis,Oxyria_t,Papaveraceae,Parnassia,Picea,Pinus,Plantago_lanceolata,Plantago_majormedia_t,Plantago_maritima_t,Plantago_sp,Poaceae,Polemoniaceae,Polygala,Polygonum_aviculare,Polygonum_persicaria,Populus,Potentilla,Primulaceae,Prunella,Pulmonaria,Quercus,Ranunculaceae,Ranunculus_acris_t,Rhamnus,Rhinanthus,Rosaceae,Rubus_chamaemorus,Rumex,Rumex_acac_t,Rumex_longifolium,Sagina,Salix,Sambucus,Sanguisorba,Saxifraga,Scheuchzeria_palustris,Scrophularia,Scrophulariaceae,Secale,Sedum,Solanum,SolidagoSaussurea_t,Sorbus,Spergula,Stachys,Succisa,Taxus,Teucrium_t,Thalictrum_t,Tilia,Trientalis,Trifolium_t,Trollius,Ulmus,Urtica,Vaccinum_t,Valeriana,Veronica,Viburnum,Vicia,Viola,Viscum
14443,K58,56.759081,27.149122,0,0,0,0,0,13,0,0,1,0,40,0,0,1,0,19,0,0,0,0,0,0,0,3,0,0,0,0,0,23,0,0,0,0,0,75,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,16,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
14372,K58,56.759081,27.149122,0,0,0,0,0,17,0,0,0,0,24,0,0,0,0,21,0,0,0,0,0,0,0,2,0,0,0,0,0,15,0,0,0,0,0,49,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,14,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
14287,K58,56.759081,27.149122,0,0,0,0,0,4,0,0,0,0,22,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,186,0,0,0,0,3,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
14254,K58,56.759081,27.149122,0,0,0,0,0,4,0,0,0,0,19,0,0,1,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,153,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,11,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14222,K58,56.759081,27.149122,0,0,0,0,0,4,0,0,0,0,27,0,0,1,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,178,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,7,0,0,0,0,0,0,0
14202,K58,56.759081,27.149122,0,0,0,0,0,6,0,0,0,0,29,0,0,1,0,29,0,0,0,0,0,0,0,1,0,0,0,0,0,8,0,0,0,0,0,120,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14100,K58,56.759081,27.149122,0,0,0,0,0,9,0,0,1,0,19,0,0,3,0,12,0,0,0,0,0,0,0,1,0,0,0,0,0,11,0,0,0,0,0,147,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,14,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
14019,K58,56.759081,27.149122,0,0,0,0,0,8,0,0,1,0,21,0,1,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,130,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,18,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0
13947,K58,56.759081,27.149122,0,0,0,0,0,8,0,0,0,0,24,0,0,1,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,138,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,18,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
13866,K58,56.759081,27.149122,0,0,0,0,0,8,0,0,1,0,25,0,1,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,155,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,22,0,0,0,0,52,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
13794,K58,56.759081,27.149122,0,0,0,0,0,8,0,0,1,0,12,0,0,0,0,20,0,0,0,0,0,0,0,1,0,0,0,0,0,15,0,0,0,0,0,111,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,21,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
13713,K58,56.759081,27.149122,0,0,0,0,0,7,0,0,1,0,19,0,1,1,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,91,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,31,0,0,0,0,73,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
13642,K58,56.759081,27.149122,0,0,0,0,0,6,0,0,1,0,20,0,2,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,75,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,26,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0
13621,K56,57.89511944,26.27314444,0,0,0,0,0,9,0,0,2,0,37,0,0,0,0,26,30,0,0,0,0,0,0,1,0,0,0,0,0,16,0,0,0,0,0,83,0,0,0,0,2,0,0,0,1,0,0,0,0,5,0,0,1,0,0,0,0,1,0,1,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,15,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0
